analysis_tier,dataset,model,corruption_scope,severity,method,bin,lower,upper,count,confidence,accuracy,mean_ece_from_metrics,std_ece_from_metrics,n_replicates,source_condition_count
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,2,0.13333333333333333,0.2,0,,,0.03473072419563923,0.006884672225307666,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,3,0.2,0.26666666666666666,0,,,0.03473072419563923,0.006884672225307666,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,4,0.26666666666666666,0.3333333333333333,0,,,0.03473072419563923,0.006884672225307666,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,5,0.3333333333333333,0.4,1,0.37788087129592896,0.0,0.03473072419563923,0.006884672225307666,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,6,0.4,0.4666666666666667,5,0.43639902472496034,0.4,0.03473072419563923,0.006884672225307666,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,7,0.4666666666666667,0.5333333333333333,20,0.5122419506311416,0.55,0.03473072419563923,0.006884672225307666,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,8,0.5333333333333333,0.6,26,0.561856033710333,0.6153846153846154,0.03473072419563923,0.006884672225307666,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,9,0.6,0.6666666666666666,32,0.630730401724577,0.625,0.03473072419563923,0.006884672225307666,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,10,0.6666666666666666,0.7333333333333333,36,0.7018699281745486,0.6666666666666666,0.03473072419563923,0.006884672225307666,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,11,0.7333333333333333,0.8,35,0.7701252681868417,0.7714285714285715,0.03473072419563923,0.006884672225307666,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,12,0.8,0.8666666666666667,55,0.8355554938316345,0.7636363636363637,0.03473072419563923,0.006884672225307666,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,13,0.8666666666666667,0.9333333333333333,108,0.9018380205940317,0.9074074074074074,0.03473072419563923,0.006884672225307666,3,3
secondary/exploratory,smids,mobilenet_v3_large,clean,0,temperature,14,0.9333333333333333,1.0,582,0.9833926502167154,0.9621993127147767,0.03473072419563923,0.006884672225307666,3,3
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,0,0.0,0.06666666666666667,0,,,0.21387859744685034,0.06499868421705225,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,1,0.06666666666666667,0.13333333333333333,0,,,0.21387859744685034,0.06499868421705225,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,2,0.13333333333333333,0.2,0,,,0.21387859744685034,0.06499868421705225,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,3,0.2,0.26666666666666666,0,,,0.21387859744685034,0.06499868421705225,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,4,0.26666666666666666,0.3333333333333333,0,,,0.21387859744685034,0.06499868421705225,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,5,0.3333333333333333,0.4,21,0.3747736882595789,0.38095238095238093,0.21387859744685034,0.06499868421705225,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,6,0.4,0.4666666666666667,65,0.44151149162879355,0.3230769230769231,0.21387859744685034,0.06499868421705225,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,7,0.4666666666666667,0.5333333333333333,214,0.5043989315489742,0.46261682242990654,0.21387859744685034,0.06499868421705225,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,8,0.5333333333333333,0.6,288,0.5642720717522833,0.4930555555555556,0.21387859744685034,0.06499868421705225,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,9,0.6,0.6666666666666666,272,0.6350550684420502,0.5257352941176471,0.21387859744685034,0.06499868421705225,3,21
secondary/exploratory,smids,mobilenet_v3_large,pooled_7_device_corruptions,3,raw_softmax,10,0.6666666666666666,0.7333333333333333,319,0.7007581537420099,0.5862068965517241,0.21387859744685034,0.06499868421705225,3,21
