analysis_tier,dataset,model,corruption_scope,severity,method,metric,signal_label,n_replicates,mean,std,clean_mean,frozen_cutoff,normalized_mean,normalized_std,crossing_severity
secondary/exploratory,smids,resnet50,defocus_blur,0,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.18622796833515162,0.03649808680153978,0.18622796833515162,0.37245593667030324,0.0,0.19598606550791947,
secondary/exploratory,smids,resnet50,defocus_blur,1,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.18638526499271388,0.03616759156514859,0.18622796833515162,0.37245593667030324,0.000844645726248656,0.1942113845115806,
secondary/exploratory,smids,resnet50,defocus_blur,2,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.19094587266445157,0.03454610506567204,0.18622796833515162,0.37245593667030324,0.025334026738718447,0.18550438677127135,
secondary/exploratory,smids,resnet50,defocus_blur,3,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.20486252605915065,0.042806822894746216,0.18622796833515162,0.37245593667030324,0.10006315319116135,0.22986248133098586,
secondary/exploratory,smids,resnet50,defocus_blur,4,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.21608130037784576,0.04431621212881731,0.18622796833515162,0.37245593667030324,0.16030530918410468,0.2379675433555829,
secondary/exploratory,smids,resnet50,defocus_blur,5,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.25968387722969055,0.05402479391102242,0.18622796833515162,0.37245593667030324,0.3944408004405732,0.29010032378055495,
secondary/exploratory,smids,resnet50,defocus_blur,0,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.0483333333333333,0.008640183897219877,0.0483333333333333,0.0966666666666666,0.0,0.17876242545972174,
secondary/exploratory,smids,resnet50,defocus_blur,1,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.0483333333333333,0.008640183897219877,0.0483333333333333,0.0966666666666666,0.0,0.17876242545972174,
secondary/exploratory,smids,resnet50,defocus_blur,2,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.05166666666666664,0.008640183897219867,0.0483333333333333,0.0966666666666666,0.06896551724137952,0.1787624254597215,
secondary/exploratory,smids,resnet50,defocus_blur,3,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.0508333333333333,0.009033118078616151,0.0483333333333333,0.0966666666666666,0.051724137931034565,0.18689209817826535,
secondary/exploratory,smids,resnet50,defocus_blur,4,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.05333333333333332,0.006846531968814578,0.0483333333333333,0.0966666666666666,0.10344827586206956,0.14165238556168103,
secondary/exploratory,smids,resnet50,defocus_blur,5,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.07166666666666663,0.00903311807861617,0.0483333333333333,0.0966666666666666,0.48275862068965547,0.18689209817826574,
