analysis_tier,dataset,model,corruption_scope,severity,coverage,mean_risk,std_risk,n_replicates,mean_aurc,std_aurc,mean_risk_at_80,std_risk_at_80
secondary/exploratory,hushem,resnet50,clean,0,0.73,0.05735685483870967,0.05700170061997448,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.74,0.05657661290322581,0.05622628995035762,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.75,0.05733901515151515,0.057859770991368034,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.76,0.059212121212121216,0.06145077987387498,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.77,0.061057040998217474,0.06447085488993584,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.78,0.06281996434937612,0.06549262724283623,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.79,0.06458288770053477,0.06695171041821661,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.8,0.07310924369747905,0.06919309564948609,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.81,0.0821428571428572,0.07175624839464136,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.8200000000000001,0.08841655941655943,0.07248206566698544,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.8300000000000001,0.09454890604890606,0.06984480943612449,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.84,0.10062462462462458,0.06778443142461235,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.85,0.10433499288762446,0.06927987656360256,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.86,0.10782345503398136,0.07156334134685736,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.87,0.11113575518838678,0.07414099224673233,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
secondary/exploratory,hushem,resnet50,clean,0,0.88,0.11444052959842432,0.07706554817895632,5,0.05242919944015704,0.04538317534451244,0.08571428571428567,0.07284313590846836
